NO	ID	GN	AGE	EDU	HHM	HHW	IOPW	IRTEH	RESTEHP	IWORK	IWTEH	IWTEHP	ITT	HHINC	IEVAL	PHU	IMOBILE	TaxiMoreComfortableThanAuto	NeedCarAtWork	PreferNotToDrive	EcoSysFriendly	PreferToUsePT	TaxiWaitingTime	PreferWalking	PreferAuto1	StressfulWhilePassanger1	ParkingNotAvailable	PreferToRenACar	PreferTaxi	UsedCruise	PreferElectricAuto	PreferHybridAuto	TrustAutoDrive	UsingSiriORAlexa	TrustCruise	UseGoogleMas	UsingTimeINAuto	FacingTraffic	SharedApp	MAIN_MODE	SEC_MODE	TTSTA	STOP	TAXI	RHUSE1	RHUSE21	RHUSE31	RHUSE4	RHUSE5	RHUSE6	HHCOW	CAR_TT	CAR_CO	CAR_WT	PT_TT	PT_CO	PT_WT	AT_TT	AT_CO	AT_WT	T_TT	T_CO	T_WT	AirportToHotelCHOICE	WILLP	MEHTR	EMTR	BeingOnTimeMatters	ATUsingCamera	TalkingToOperator	LandOperatorControl	ATWorkWithTaxi	MobileIsImportant	RecreationRatherWork	TechnologyMatter1	WorryAboutPrivacy	WaitingForNewBrandTech	SharingTripIsOk1	EconomicalSatisfied	YearUsingAT	TechnologyMatter	PreferAuto	RHUSE2	RHUSE3	SharingTripIsOk	StressfulWhilePassanger	SC1	SC2	SC3	SC4	SC5	SC6
40	7	1	4	2	2	1	5	1	1	7	99	99	1	7	1	3	1	2	3	5	4	1	4	5	2	1	5	1	4	2	5	5	4	5	5	5	4	5	5	1	4	1	2	4	1	99	3	99	99	99	3	100	95	10	85	15	30	20	600	5	110	95	10	4	99	3	1	5	5	5	1	3	5	3	5	1	1	5	3	1	5	2	99	3	5	1	0	0	0	1	0	0
41	7	1	4	2	2	1	5	1	1	7	99	99	1	7	1	3	1	2	3	5	4	1	4	5	2	1	5	1	4	2	5	5	4	5	5	5	4	5	5	1	4	1	2	4	1	99	3	99	99	99	3	60	70	5	120	15	30	15	600	7	70	95	5	1	99	3	1	5	5	5	1	3	5	3	5	1	1	5	3	1	5	2	99	3	5	1	0	0	0	0	1	0
42	7	1	4	2	2	1	5	1	1	7	99	99	1	7	1	3	1	2	3	5	4	1	4	5	2	1	5	1	4	2	5	5	4	5	5	5	4	5	5	1	4	1	2	4	1	99	3	99	99	99	3	100	95	15	85	10	20	15	600	7	110	150	10	4	99	3	1	5	5	5	1	3	5	3	5	1	1	5	3	1	5	2	99	3	5	1	0	0	0	0	0	1
43	8	2	1	1	2	1	2	2	4	3	1	3	1	3	2	2	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	1	3	99	99	3	99	99	99	2	75	70	7	110	20	20	20	600	10	70	120	5	4	3	1	1	2	2	1	5	5	4	4	4	4	4	4	4	5	4	4	99	3	4	4	1	0	0	0	0	0
44	8	2	1	1	2	1	2	2	4	3	1	3	1	3	2	2	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	1	3	99	99	3	99	99	99	2	75	130	5	120	15	30	20	300	10	70	95	10	2	3	1	1	2	2	1	5	5	4	4	4	4	4	4	4	5	4	4	99	3	4	4	0	1	0	0	0	0
45	8	2	1	1	2	1	2	2	4	3	1	3	1	3	2	2	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	1	3	99	99	3	99	99	99	2	60	95	5	110	20	30	20	400	5	70	120	10	4	3	1	1	2	2	1	5	5	4	4	4	4	4	4	4	5	4	4	99	3	4	4	0	0	1	0	0	0
46	8	2	1	1	2	1	2	2	4	3	1	3	1	3	2	2	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	1	3	99	99	3	99	99	99	2	100	95	10	85	15	30	20	600	5	110	95	10	2	3	1	1	2	2	1	5	5	4	4	4	4	4	4	4	5	4	4	99	3	4	4	0	0	0	1	0	0
47	8	2	1	1	2	1	2	2	4	3	1	3	1	3	2	2	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	1	3	99	99	3	99	99	99	2	60	70	5	120	15	30	15	600	7	70	95	5	4	3	1	1	2	2	1	5	5	4	4	4	4	4	4	4	5	4	4	99	3	4	4	0	0	0	0	1	0
48	8	2	1	1	2	1	2	2	4	3	1	3	1	3	2	2	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	1	3	99	99	3	99	99	99	2	100	95	15	85	10	20	15	600	7	110	150	10	3	3	1	1	2	2	1	5	5	4	4	4	4	4	4	4	5	4	4	99	3	4	4	0	0	0	0	0	1
49	9	1	4	3	5	3	6	2	0	3	2	99	1	5	3	3	1	4	4	4	5	4	4	4	3	2	2	3	3	4	4	5	3	4	4	4	3	4	3	2	3	1	1	4	1	99	99	99	99	99	2	75	70	7	110	20	20	20	600	10	70	120	5	2	5	0	0	4	4	5	5	3	4	4	4	4	4	2	2	5	4	3	99	3	2	2	1	0	0	0	0	0
