NO.	GN	AGE	EDU	HHM	HHW	IWORK	IOPW	IRTEH	RESTEHP	IWTEH	ITT	HHINC	IEVAL	PHU	MAIN_MODE	SEC_MODE	TTSTA	STOP	TAXI	HHCOW	WILLP	W_CAR_TT	W_CAR_CO	W_CAR_WT	W_PT_TT	W_PT_CO	W_PT_WT	W_AT_TT	W_AT_CO	W_AT_WT	W_T_TT	W_T_CO	W_T_WT	WorkTrip_CHOICE	MEHTR	EMTR	TaxiMoreComfortableThanAuto	NeedCarAtWork	PreferNotToDrive	EcoSysFriendly	PreferToUsePT	TaxiWaitingTime	PreferWalking	PreferAuto	StressfulWhilePassanger	ParkingNotAvailable	PreferToRenACar	PreferTaxi	UsedCruise	PreferElectricAuto	PreferHybridAuto	TrustAutoDrive	UsingSiriORAlexa	TrustCruise	UseGoogleMas	UsingTimeINAuto	FacingTraffic	SharedApp	BeingOnTimeMatters	ATUsingCamera	TalkingToOperator	LandOperatorControl	ATWorkWithTaxi	MobileIsImportant	RecreationRatherWork	TechnologyMatter	WorryAboutPrivacy	WaitingForNewBrandTech	SharingTripIsOk	EconomicalSatisfied
1171	1	2	2	4	1	4	4	2	8	2	2	1	4	2	3	3	2	1	5	0	1	75	30	2	85	15	15	20	400	10	70	120	5	4	0	0	3	3	3	4	4	3	3	3	4	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	3	2	2	1
1172	1	2	2	4	1	4	4	2	8	2	2	1	4	2	3	3	2	1	5	0	1	75	70	0	105	10	25	20	400	10	70	100	10	4	0	0	3	3	3	4	4	3	3	3	4	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	3	2	2	1
1173	1	2	2	4	1	4	4	2	8	2	2	1	4	2	3	3	2	1	5	0	1	50	50	2	85	15	25	20	400	5	70	120	10	4	0	0	3	3	3	4	4	3	3	3	4	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	3	2	2	1
1174	1	2	2	4	1	4	4	2	8	2	2	1	4	2	3	3	2	1	5	0	1	90	50	4	70	10	25	20	600	5	90	100	10	4	0	0	3	3	3	4	4	3	3	3	4	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	3	2	2	1
1175	1	2	2	4	1	4	4	2	8	2	2	1	4	2	3	3	2	1	5	0	1	50	30	0	105	10	25	15	600	7	70	100	5	1	0	0	3	3	3	4	4	3	3	3	4	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	3	2	2	1
1176	1	2	2	4	1	4	4	2	8	2	2	1	4	2	3	3	2	1	5	0	1	90	50	4	70	5	15	15	600	7	90	150	10	4	0	0	3	3	3	4	4	3	3	3	4	3	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	2	3	2	2	1
1177	1	2	1	5	3	4	1	2	16	2	99	1	4	2	7	7	1	2	4	0	5	75	30	2	85	15	15	20	400	10	70	120	5	4	0	0	4	1	3	5	5	2	5	2	2	1	5	5	3	3	3	4	4	3	4	3	1	5	5	5	5	5	5	5	5	5	5	5	5	1
1178	1	2	1	5	3	4	1	2	16	2	99	1	4	2	7	7	1	2	4	0	5	75	70	0	105	10	25	20	400	10	70	100	10	4	0	0	4	1	3	5	5	2	5	2	2	1	5	5	3	3	3	4	4	3	4	3	1	5	5	5	5	5	5	5	5	5	5	5	5	1
1179	1	2	1	5	3	4	1	2	16	2	99	1	4	2	7	7	1	2	4	0	5	50	50	2	85	15	25	20	400	5	70	120	10	4	0	0	4	1	3	5	5	2	5	2	2	1	5	5	3	3	3	4	4	3	4	3	1	5	5	5	5	5	5	5	5	5	5	5	5	1
1180	1	2	1	5	3	4	1	2	16	2	99	1	4	2	7	7	1	2	4	0	5	90	50	4	70	10	25	20	600	5	90	100	10	4	0	0	4	1	3	5	5	2	5	2	2	1	5	5	3	3	3	4	4	3	4	3	1	5	5	5	5	5	5	5	5	5	5	5	5	1
