NO	GN	AGE	EDU	HHM	HHW	IWORK	IOPW	IRTEH	RESTEHP	IWTEH	ITT	HHINC	IEVAL	PHU	MAIN_MODE	SEC_MODE	TTSTA	STOP	TAXI	HHCOW	CAR_TT	CAR_CO	CAR_WT	PT_TT	PT_CO	PT_WT	AT_TT	AT_CO	AT_WT	T_TT	T_CO	T_WT	AirportToHotelCHOICE	WILLP	W_CAR_TT	W_CAR_CO	W_CAR_WT	W_PT_TT	W_PT_CO	W_PT_WT	W_AT_TT	W_AT_CO	W_AT_WT	W_T_TT	W_T_CO	W_T_WT	WorkTrip_CHOICE	REC_CAR_TT	REC_CAR_CO	REC_CAR_WT	REC_AT_TT	REC_AT_CO	REC_AT_WT	REC_T_TT	REC_T_CO	REC_T_WT	RecTripCHOICE	ID	MEHTR	EMTR	TaxiMoreComfortableThanAuto	NeedCarAtWork	PreferNotToDrive	EcoSysFriendly	PreferToUsePT	TaxiWaitingTime	PreferWalking	PreferAuto	StressfulWhilePassanger	ParkingNotAvailable	PreferToRenACar	PreferTaxi	UsedCruise	PreferElectricAuto	PreferHybridAuto	TrustAutoDrive	UsingSiriORAlexa	TrustCruise	UseGoogleMas	UsingTimeINAuto	FacingTraffic	SharedApp	BeingOnTimeMatters	ATUsingCamera	TalkingToOperator	LandOperatorControl	ATWorkWithTaxi	MobileIsImportant	RecreationRatherWork	TechnologyMatter	WorryAboutPrivacy	WaitingForNewBrandTech	SharingTripIsOk	EconomicalSatisfied
418	1	4	2	3	2	2	6	1	4	1	2	4	3	3	1	3	2	1	2	1	100	95	10	85	15	30	20	600	5	110	95	10	2	1	90	50	4	70	10	25	20	600	5	90	100	10	1	115	85	10	20	600	5	110	90	10	2	57	0	0	4	3	4	4	4	2	5	4	2	5	2	3	2	5	5	4	4	4	5	4	5	4	5	4	4	4	4	4	3	4	4	3	3	1
419	1	4	2	3	2	2	6	1	4	1	2	4	3	3	1	3	2	1	2	1	60	70	5	120	15	30	15	600	7	70	95	5	1	1	50	30	0	105	10	25	15	600	7	70	100	5	1	65	60	0	15	600	7	70	90	5	2	57	0	0	4	3	4	4	4	2	5	4	2	5	2	3	2	5	5	4	4	4	5	4	5	4	5	4	4	4	4	4	3	4	4	3	3	1
420	1	4	2	3	2	2	6	1	4	1	2	4	3	3	1	3	2	1	2	1	100	95	15	85	10	20	15	600	7	110	150	10	4	1	90	50	4	70	5	15	15	600	7	90	150	10	4	115	85	10	15	600	7	110	140	10	1	57	0	0	4	3	4	4	4	2	5	4	2	5	2	3	2	5	5	4	4	4	5	4	5	4	5	4	4	4	4	4	3	4	4	3	3	1
421	2	4	3	2	1	3	6	1	4	1	3	6	3	2	3	3	5	1	2	1	75	70	7	110	20	20	20	600	10	70	120	5	2	5	75	30	2	85	15	15	20	400	10	70	120	5	4	80	60	5	20	600	10	70	110	5	1	58	4	0	4	2	4	5	5	5	3	4	4	5	1	2	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	2	5	5	5	3	1
422	2	4	3	2	1	3	6	1	4	1	3	6	3	2	3	3	5	1	2	1	75	130	5	120	15	30	20	300	10	70	95	10	2	5	75	70	0	105	10	25	20	400	10	70	100	10	4	80	100	0	20	400	10	70	90	10	1	58	4	0	4	2	4	5	5	5	3	4	4	5	1	2	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	2	5	5	5	3	1
423	2	4	3	2	1	3	6	1	4	1	3	6	3	2	3	3	5	1	2	1	60	95	5	110	20	30	20	400	5	70	120	10	1	5	50	50	2	85	15	25	20	400	5	70	120	10	1	65	85	5	20	400	5	70	110	10	2	58	4	0	4	2	4	5	5	5	3	4	4	5	1	2	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	2	5	5	5	3	1
424	2	4	3	2	1	3	6	1	4	1	3	6	3	2	3	3	5	1	2	1	100	95	10	85	15	30	20	600	5	110	95	10	1	5	90	50	4	70	10	25	20	600	5	90	100	10	1	115	85	10	20	600	5	110	90	10	1	58	4	0	4	2	4	5	5	5	3	4	4	5	1	2	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	2	5	5	5	3	1
425	2	4	3	2	1	3	6	1	4	1	3	6	3	2	3	3	5	1	2	1	60	70	5	120	15	30	15	600	7	70	95	5	2	5	50	30	0	105	10	25	15	600	7	70	100	5	1	65	60	0	15	600	7	70	90	5	1	58	4	0	4	2	4	5	5	5	3	4	4	5	1	2	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	2	5	5	5	3	1
426	2	4	3	2	1	3	6	1	4	1	3	6	3	2	3	3	5	1	2	1	100	95	15	85	10	20	15	600	7	110	150	10	1	5	90	50	4	70	5	15	15	600	7	90	150	10	1	115	85	10	15	600	7	110	140	10	1	58	4	0	4	2	4	5	5	5	3	4	4	5	1	2	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	2	5	5	5	3	1
427	1	4	3	4	2	3	5	1	4	1	2	5	2	1	1	4	1	1	3	1	75	70	7	110	20	20	20	600	10	70	120	5	4	5	75	30	2	85	15	15	20	400	10	70	120	5	4	80	60	5	20	600	10	70	110	5	1	61	0	0	5	3	2	4	4	4	5	2	2	5	1	5	1	5	5	3	3	4	5	4	5	5	5	4	4	4	4	5	4	4	2	4	4	2
