NO	GN	AGE	EDU	HHM	HHW	IWORK	IOPW	IRTEH	RESTEHP	IWTEH	ITT	HHINC	IEVAL	PHU	MAIN_MODE	SEC_MODE	TTSTA	STOP	TAXI	HHCOW	CAR_TT	CAR_CO	CAR_WT	PT_TT	PT_CO	PT_WT	AT_TT	AT_CO	AT_WT	T_TT	T_CO	T_WT	AirportToHotelCHOICE	WILLP	W_CAR_TT	W_CAR_CO	W_CAR_WT	W_PT_TT	W_PT_CO	W_PT_WT	W_AT_TT	W_AT_CO	W_AT_WT	W_T_TT	W_T_CO	W_T_WT	WorkTrip_CHOICE	REC_CAR_TT	REC_CAR_CO	REC_CAR_WT	REC_AT_TT	REC_AT_CO	REC_AT_WT	REC_T_TT	REC_T_CO	REC_T_WT	RecTripCHOICE	ID	MEHTR	EMTR	TaxiMoreComfortableThanAuto	NeedCarAtWork	PreferNotToDrive	EcoSysFriendly	PreferToUsePT	TaxiWaitingTime	PreferWalking	PreferAuto	StressfulWhilePassanger	ParkingNotAvailable	PreferToRenACar	PreferTaxi	UsedCruise	PreferElectricAuto	PreferHybridAuto	TrustAutoDrive	UsingSiriORAlexa	TrustCruise	UseGoogleMas	UsingTimeINAuto	FacingTraffic	SharedApp	BeingOnTimeMatters	ATUsingCamera	TalkingToOperator	LandOperatorControl	ATWorkWithTaxi	MobileIsImportant	RecreationRatherWork	TechnologyMatter	WorryAboutPrivacy	WaitingForNewBrandTech	SharingTripIsOk	EconomicalSatisfied
387	1	4	2	2	2	2	5	1	5	1	3	5	3	3	4	1	3	2	1	1	60	95	5	110	20	30	20	400	5	70	120	10	2	3	50	50	2	85	15	25	20	400	5	70	120	10	2	65	85	5	20	400	5	70	110	10	3	28	0	0	5	1	4	5	1	2	4	2	2	4	4	4	1	4	4	3	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	4	4	1
388	1	4	2	2	2	2	5	1	5	1	3	5	3	3	4	1	3	2	1	1	100	95	10	85	15	30	20	600	5	110	95	10	2	3	90	50	4	70	10	25	20	600	5	90	100	10	2	115	85	10	20	600	5	110	90	10	2	28	0	0	5	1	4	5	1	2	4	2	2	4	4	4	1	4	4	3	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	4	4	1
389	1	4	2	2	2	2	5	1	5	1	3	5	3	3	4	1	3	2	1	1	60	70	5	120	15	30	15	600	7	70	95	5	2	3	50	30	0	105	10	25	15	600	7	70	100	5	2	65	60	0	15	600	7	70	90	5	2	28	0	0	5	1	4	5	1	2	4	2	2	4	4	4	1	4	4	3	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	4	4	1
390	1	4	2	2	2	2	5	1	5	1	3	5	3	3	4	1	3	2	1	1	100	95	15	85	10	20	15	600	7	110	150	10	2	3	90	50	4	70	5	15	15	600	7	90	150	10	2	115	85	10	15	600	7	110	140	10	1	28	0	0	5	1	4	5	1	2	4	2	2	4	4	4	1	4	4	3	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	4	4	1
391	1	4	2	3	1	7	5	1	1	99	3	2	2	3	1	8	4	2	3	2	75	70	7	110	20	20	20	600	10	70	120	5	1	5	75	30	2	85	15	15	20	400	10	70	120	5	1	80	60	5	20	600	10	70	110	5	1	36	4	2	3	4	2	1	3	4	4	2	4	5	2	2	3	3	3	4	5	4	4	5	4	4	3	4	4	4	4	5	5	4	4	3	5	4
392	1	4	2	3	1	7	5	1	1	99	3	2	2	3	1	8	4	2	3	2	75	130	5	120	15	30	20	300	10	70	95	10	1	5	75	70	0	105	10	25	20	400	10	70	100	10	1	80	100	0	20	400	10	70	90	10	2	36	4	2	3	4	2	1	3	4	4	2	4	5	2	2	3	3	3	4	5	4	4	5	4	4	3	4	4	4	4	5	5	4	4	3	5	4
393	1	4	2	3	1	7	5	1	1	99	3	2	2	3	1	8	4	2	3	2	60	95	5	110	20	30	20	400	5	70	120	10	1	5	50	50	2	85	15	25	20	400	5	70	120	10	1	65	85	5	20	400	5	70	110	10	1	36	4	2	3	4	2	1	3	4	4	2	4	5	2	2	3	3	3	4	5	4	4	5	4	4	3	4	4	4	4	5	5	4	4	3	5	4
394	1	4	2	3	1	7	5	1	1	99	3	2	2	3	1	8	4	2	3	2	100	95	10	85	15	30	20	600	5	110	95	10	4	5	90	50	4	70	10	25	20	600	5	90	100	10	1	115	85	10	20	600	5	110	90	10	1	36	4	2	3	4	2	1	3	4	4	2	4	5	2	2	3	3	3	4	5	4	4	5	4	4	3	4	4	4	4	5	5	4	4	3	5	4
395	1	4	2	3	1	7	5	1	1	99	3	2	2	3	1	8	4	2	3	2	60	70	5	120	15	30	15	600	7	70	95	5	1	5	50	30	0	105	10	25	15	600	7	70	100	5	1	65	60	0	15	600	7	70	90	5	1	36	4	2	3	4	2	1	3	4	4	2	4	5	2	2	3	3	3	4	5	4	4	5	4	4	3	4	4	4	4	5	5	4	4	3	5	4
396	1	4	2	3	1	7	5	1	1	99	3	2	2	3	1	8	4	2	3	2	100	95	15	85	10	20	15	600	7	110	150	10	1	5	90	50	4	70	5	15	15	600	7	90	150	10	1	115	85	10	15	600	7	110	140	10	1	36	4	2	3	4	2	1	3	4	4	2	4	5	2	2	3	3	3	4	5	4	4	5	4	4	3	4	4	4	4	5	5	4	4	3	5	4
397	2	4	4	2	2	3	5	1	1	1	3	6	2	4	3	1	2	2	4	1	75	70	7	110	20	20	20	600	10	70	120	5	4	1	75	30	2	85	15	15	20	400	10	70	120	5	4	80	60	5	20	600	10	70	110	5	1	41	2	1	4	2	3	5	5	3	4	2	2	5	3	2	4	5	5	4	4	5	5	3	5	4	3	4	4	3	5	5	5	5	4	5	3	2
398	2	4	4	2	2	3	5	1	1	1	3	6	2	4	3	1	2	2	4	1	75	130	5	120	15	30	20	300	10	70	95	10	4	1	75	70	0	105	10	25	20	400	10	70	100	10	4	80	100	0	20	400	10	70	90	10	1	41	2	1	4	2	3	5	5	3	4	2	2	5	3	2	4	5	5	4	4	5	5	3	5	4	3	4	4	3	5	5	5	5	4	5	3	2
399	2	4	4	2	2	3	5	1	1	1	3	6	2	4	3	1	2	2	4	1	60	95	5	110	20	30	20	400	5	70	120	10	4	1	50	50	2	85	15	25	20	400	5	70	120	10	4	65	85	5	20	400	5	70	110	10	1	41	2	1	4	2	3	5	5	3	4	2	2	5	3	2	4	5	5	4	4	5	5	3	5	4	3	4	4	3	5	5	5	5	4	5	3	2
400	2	4	4	2	2	3	5	1	1	1	3	6	2	4	3	1	2	2	4	1	100	95	10	85	15	30	20	600	5	110	95	10	4	1	90	50	4	70	10	25	20	600	5	90	100	10	4	115	85	10	20	600	5	110	90	10	2	41	2	1	4	2	3	5	5	3	4	2	2	5	3	2	4	5	5	4	4	5	5	3	5	4	3	4	4	3	5	5	5	5	4	5	3	2
401	2	4	4	2	2	3	5	1	1	1	3	6	2	4	3	1	2	2	4	1	60	70	5	120	15	30	15	600	7	70	95	5	4	1	50	30	0	105	10	25	15	600	7	70	100	5	1	65	60	0	15	600	7	70	90	5	1	41	2	1	4	2	3	5	5	3	4	2	2	5	3	2	4	5	5	4	4	5	5	3	5	4	3	4	4	3	5	5	5	5	4	5	3	2
402	2	4	4	2	2	3	5	1	1	1	3	6	2	4	3	1	2	2	4	1	100	95	15	85	10	20	15	600	7	110	150	10	4	1	90	50	4	70	5	15	15	600	7	90	150	10	4	115	85	10	15	600	7	110	140	10	1	41	2	1	4	2	3	5	5	3	4	2	2	5	3	2	4	5	5	4	4	5	5	3	5	4	3	4	4	3	5	5	5	5	4	5	3	2
403	2	4	3	2	1	1	6	1	6	1	3	4	4	2	1	4	1	2	3	1	75	70	7	110	20	20	20	600	10	70	120	5	1	5	75	30	2	85	15	15	20	400	10	70	120	5	3	80	60	5	20	600	10	70	110	5	1	45	1	2	2	5	3	5	5	4	5	5	4	4	2	1	5	5	5	2	4	5	5	5	4	5	5	5	5	5	4	5	5	4	4	4	4	2
404	2	4	3	2	1	1	6	1	6	1	3	4	4	2	1	4	1	2	3	1	75	130	5	120	15	30	20	300	10	70	95	10	1	5	75	70	0	105	10	25	20	400	10	70	100	10	3	80	100	0	20	400	10	70	90	10	3	45	1	2	2	5	3	5	5	4	5	5	4	4	2	1	5	5	5	2	4	5	5	5	4	5	5	5	5	5	4	5	5	4	4	4	4	2
405	2	4	3	2	1	1	6	1	6	1	3	4	4	2	1	4	1	2	3	1	60	95	5	110	20	30	20	400	5	70	120	10	1	5	50	50	2	85	15	25	20	400	5	70	120	10	3	65	85	5	20	400	5	70	110	10	1	45	1	2	2	5	3	5	5	4	5	5	4	4	2	1	5	5	5	2	4	5	5	5	4	5	5	5	5	5	4	5	5	4	4	4	4	2
406	2	4	3	2	1	1	6	1	6	1	3	4	4	2	1	4	1	2	3	1	100	95	10	85	15	30	20	600	5	110	95	10	1	5	90	50	4	70	10	25	20	600	5	90	100	10	1	115	85	10	20	600	5	110	90	10	3	45	1	2	2	5	3	5	5	4	5	5	4	4	2	1	5	5	5	2	4	5	5	5	4	5	5	5	5	5	4	5	5	4	4	4	4	2
407	2	4	3	2	1	1	6	1	6	1	3	4	4	2	1	4	1	2	3	1	60	70	5	120	15	30	15	600	7	70	95	5	1	5	50	30	0	105	10	25	15	600	7	70	100	5	3	65	60	0	15	600	7	70	90	5	1	45	1	2	2	5	3	5	5	4	5	5	4	4	2	1	5	5	5	2	4	5	5	5	4	5	5	5	5	5	4	5	5	4	4	4	4	2
408	2	4	3	2	1	1	6	1	6	1	3	4	4	2	1	4	1	2	3	1	100	95	15	85	10	20	15	600	7	110	150	10	3	5	90	50	4	70	5	15	15	600	7	90	150	10	1	115	85	10	15	600	7	110	140	10	1	45	1	2	2	5	3	5	5	4	5	5	4	4	2	1	5	5	5	2	4	5	5	5	4	5	5	5	5	5	4	5	5	4	4	4	4	2
409	2	4	3	5	2	2	7	1	1	1	1	3	4	3	4	4	1	1	1	2	75	70	7	110	20	20	20	600	10	70	120	5	1	5	75	30	2	85	15	15	20	400	10	70	120	5	1	80	60	5	20	600	10	70	110	5	1	51	0	0	4	4	3	4	2	4	3	3	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
410	2	4	3	5	2	2	7	1	1	1	1	3	4	3	4	4	1	1	1	2	75	130	5	120	15	30	20	300	10	70	95	10	1	5	75	70	0	105	10	25	20	400	10	70	100	10	1	80	100	0	20	400	10	70	90	10	2	51	0	0	4	4	3	4	2	4	3	3	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
411	2	4	3	5	2	2	7	1	1	1	1	3	4	3	4	4	1	1	1	2	60	95	5	110	20	30	20	400	5	70	120	10	1	5	50	50	2	85	15	25	20	400	5	70	120	10	1	65	85	5	20	400	5	70	110	10	1	51	0	0	4	4	3	4	2	4	3	3	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
412	2	4	3	5	2	2	7	1	1	1	1	3	4	3	4	4	1	1	1	2	100	95	10	85	15	30	20	600	5	110	95	10	1	5	90	50	4	70	10	25	20	600	5	90	100	10	1	115	85	10	20	600	5	110	90	10	1	51	0	0	4	4	3	4	2	4	3	3	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
413	2	4	3	5	2	2	7	1	1	1	1	3	4	3	4	4	1	1	1	2	60	70	5	120	15	30	15	600	7	70	95	5	1	5	50	30	0	105	10	25	15	600	7	70	100	5	1	65	60	0	15	600	7	70	90	5	1	51	0	0	4	4	3	4	2	4	3	3	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
414	2	4	3	5	2	2	7	1	1	1	1	3	4	3	4	4	1	1	1	2	100	95	15	85	10	20	15	600	7	110	150	10	1	5	90	50	4	70	5	15	15	600	7	90	150	10	1	115	85	10	15	600	7	110	140	10	1	51	0	0	4	4	3	4	2	4	3	3	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
415	1	4	2	3	2	2	6	1	4	1	2	4	3	3	1	3	2	1	2	1	75	70	7	110	20	20	20	600	10	70	120	5	4	1	75	30	2	85	15	15	20	400	10	70	120	5	3	80	60	5	20	600	10	70	110	5	1	57	0	0	4	3	4	4	4	2	5	4	2	5	2	3	2	5	5	4	4	4	5	4	5	4	5	4	4	4	4	4	3	4	4	3	3	1
416	1	4	2	3	2	2	6	1	4	1	2	4	3	3	1	3	2	1	2	1	75	130	5	120	15	30	20	300	10	70	95	10	4	1	75	70	0	105	10	25	20	400	10	70	100	10	2	80	100	0	20	400	10	70	90	10	2	57	0	0	4	3	4	4	4	2	5	4	2	5	2	3	2	5	5	4	4	4	5	4	5	4	5	4	4	4	4	4	3	4	4	3	3	1
417	1	4	2	3	2	2	6	1	4	1	2	4	3	3	1	3	2	1	2	1	60	95	5	110	20	30	20	400	5	70	120	10	1	1	50	50	2	85	15	25	20	400	5	70	120	10	1	65	85	5	20	400	5	70	110	10	1	57	0	0	4	3	4	4	4	2	5	4	2	5	2	3	2	5	5	4	4	4	5	4	5	4	5	4	4	4	4	4	3	4	4	3	3	1
